Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.form.job,FormConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.form.job,FormConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.form.job,FormConversionJobExecutorTest,copy,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.form.job,FormConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.form.job,FormConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.impl,ListPageVisitor,ListPageVisitor,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.impl,ListPageVisitorTest,testVisitDepth,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.impl,RewriteUtilsTest,updateReferences,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.impl,RewriteUtilsTest,updateReferences,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job,AbstractConversionJobExecutor,login,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutor,doProcess,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutor,doProcess,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutor,importPolicies,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.job,AbstractConversionJobExecutorTest,testSavesJobData,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,testPathsNotPage,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,createVersionManagementFails,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Method
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
